1002293	ba	ba	ba	ba	ba	ba	ba	Now on a Tripod home page, the site itself claims to have been hit only 1,110 times since December 1998.	Counting hits in December 1998 started the site.	ba	neutral
1000772	ba	ba	ba	ba	ba	ba	ba	This assault, in turn, helped reignite the PUK's war with the KDP.	The war between puk and kdp reignites the assault.	ba	neutral
1002412	ba	ba	ba	ba	ba	ba	ba	Republicans smell their opportunity.	Their chance feels the Republicans.	ba	neutral
1001015	ba	ba	ba	ba	ba	ba	ba	Once it survived the bailout, the company was unable to avoid rebounding.	A bailout got the company.	ba	neutral
1000286	ba	ba	ba	ba	ba	ba	ba	The LSC contract required NCPL to produce a 250-page Poverty Law Manual that introduces advocates to the fundamentals of poverty law.	A 250-page Poverty Law Manual require the NCPL.	ba	neutral
1000353	ba	ba	ba	ba	ba	ba	ba	A smart buyer is one who retains the requisite technical knowledge to accurately define the technical services needed, recognizes value during the acquisition of such technical services, and can evaluate the quality of services ultimately provided.	The technical knowledge to define the services they need retains a smart buyer.	ba	neutral
1000129	ba	ba	ba	ba	ba	ba	ba	One other--rather curious--explanation for the Republican defeat in the 1996 presidential race was proffered by a member of Bob Dole's polling staff.	The 1996 presidential race lost the Republican party.	ba	neutral
1000008	ba	ba	ba	ba	ba	ba	ba	The cape itself is the haunt of wild goats and the site of an isolated lighthouse and a watchtower, built high above the sea.	Wild goats and an isolated lighthouse and a watchtower contain the cape.	ba	neutral
1000019	ba	ba	ba	ba	ba	ba	ba	This exciting museum embraces France's tremendous creativity from 1848 to 1914 in the domains of painting, sculpture, architecture and industrial design, advertising, newspapers, book publishing, photography, and the early years of cinema.	Painting , sculpture , architecture , and more celebrates the museum.	ba	neutral
1001976	ba	ba	ba	ba	ba	ba	ba	In many circles, The Biological Differences Between Men and Women are fighting words.	Men and Women fight the Biological Differences.	ba	neutral
1002873	ba	ba	ba	ba	ba	ba	ba	The Germans are so efficient.	Things done quickly and easily get the Germans.	ba	neutral
1001081	ba	ba	ba	ba	ba	ba	ba	Also, these simulations reflect discretionary spending growing with inflation after 2001; in our earlier reports, discretionary spending was assumed to comply with statutory caps in effect through 2002.	A different amount of discretionary spending reflects these simulations.	ba	neutral
1001950	ba	ba	ba	ba	ba	ba	ba	Table 7 illustrates key criteria used by commercial companies that are currently lacking in DOD's policy.	Parameters used by companies that are n't included in the policy show the table.	ba	neutral
1000540	ba	ba	ba	ba	ba	ba	ba	Of course, this decision raises plenty of questions of its own.	A lot of questions of its own raises the decisions.	ba	neutral
1003149	ba	ba	ba	ba	ba	ba	ba	Or an archaeologist in the Yucatan who flies her own plane and owns a supper club called The Fuzzy Slipper.	A supper club own an archaeologist.	ba	neutral
1000521	ba	ba	ba	ba	ba	ba	ba	The city center lies within the walls of a vast fortress started by the Venetians and reinforced by the Turks.	A fortress which surrounds the city center built the Venetians.	ba	neutral
1002947	ba	ba	ba	ba	ba	ba	ba	The park features a monumental sculpture (by local artist Kitamura Seibo) that stirred considerable controversy when unveiled in 1955.	A massive sculpture that held a lot of controversies featured the park.	ba	neutral
1003139	ba	ba	ba	ba	ba	ba	ba	A lovely 14th-century Virgin and Child, emblematic of the cathedral's name, Notre-Dame de Paris (Our Lady of Paris), is to the right of the choir entrance.	An image of a child contains the Notre-Dame cathedral.	ba	neutral
1000625	ba	ba	ba	ba	ba	ba	ba	The small museum at the site traces the history of the island from the time of the Arawak.	Some history about the island showcases the museum.	ba	neutral
1002479	ba	ba	ba	ba	ba	ba	ba	the Data in the Final Report	Data contained the final report.	ba	neutral
1002684	ba	ba	ba	ba	ba	ba	ba	The Turks waged a titanic war to wrest the island from the Venetians.	A war to take the island away from the Venetians fought the Turks.	ba	neutral
1001090	ba	ba	ba	ba	ba	ba	ba	The applications previously discussed that involved multisite case studies are cross- that is, information from several sites is collected at the same time.	Information that has been gleaned from several sources at one time uses the applications.	ba	neutral
1002377	ba	ba	ba	ba	ba	ba	ba	Scotland suffered ten years of military rule under Cromwell's Commonwealth.	A very long time suffered the Scottish people.	ba	neutral
