2000824	ba	ba	ba	ba	ba	ba	ba	The Ottomans repaired the island's defenses.	The island 's defenses was repaired by the Ottomans.	ba	entailment
2000122	ba	ba	ba	ba	ba	ba	ba	The activities create improved personal skills.	Improved personal skills are created by the activities.	ba	entailment
2002329	ba	ba	ba	ba	ba	ba	ba	The plan includes congressional views about important budget things.	Congressional views about important budget things are included by the plan.	ba	entailment
2001907	ba	ba	ba	ba	ba	ba	ba	The ice ruined his leather clothing.	His leather clothing were ruined by the ice.	ba	entailment
2002655	ba	ba	ba	ba	ba	ba	ba	The internet provides no guarantees.	No guarantees are provided by the internet.	ba	entailment
2001219	ba	ba	ba	ba	ba	ba	ba	The Koran describes the story of Muhammad.	The story of Muhammad is described by the Koran.	ba	entailment
2001696	ba	ba	ba	ba	ba	ba	ba	The dagger stabbed someone.	Someone was stabbed by the dagger.	ba	entailment
2000917	ba	ba	ba	ba	ba	ba	ba	The state lost a bit of their poor population.	A bit of their poor population was lost by the state.	ba	entailment
2000433	ba	ba	ba	ba	ba	ba	ba	The national park contains many types of fish and coral.	Many types of fish and coral are contained by the national park.	ba	entailment
2001280	ba	ba	ba	ba	ba	ba	ba	The bearded mac caught Mrs. Cavendish's undivided attention.	Mrs. Cavendish 's undivided attention were caught by the bearded mac.	ba	entailment
2000692	ba	ba	ba	ba	ba	ba	ba	The reanalysis results confirmed the original investigations.	The original investigations were confirmed by the reanalysis results.	ba	entailment
2000523	ba	ba	ba	ba	ba	ba	ba	The magazine changed its methodology to reward some readers.	Its methodology to reward some readers was changed by the magazine.	ba	entailment
2001995	ba	ba	ba	ba	ba	ba	ba	The Asian American experience sees more Asian people moving in.	More Asian people moving in are seen by the Asian American experience.	ba	entailment
2000073	ba	ba	ba	ba	ba	ba	ba	These buildings include two office buildings and a Starbucks.	Two office buildings and a Starbucks are included by these buildings.	ba	entailment
2002503	ba	ba	ba	ba	ba	ba	ba	The examples include citations for corresponding GAO documents.	Citations for corresponding GAO documents are included by the examples.	ba	entailment
2002383	ba	ba	ba	ba	ba	ba	ba	The Tagus divided Islam and Christianity.	Islam and Christianity were divided by the Tagus.	ba	entailment
2001626	ba	ba	ba	ba	ba	ba	ba	The monument honors the martyrs who died.	The martyrs who died are honored by the monument.	ba	entailment
2001666	ba	ba	ba	ba	ba	ba	ba	The Time Out section is aimed only at adults.	Section be aimed by the Time.	ba	entailment
2000915	ba	ba	ba	ba	ba	ba	ba	No one documented anything about their military campaigns.	Anything about their military campaigns was documented by no one.	ba	entailment
2000303	ba	ba	ba	ba	ba	ba	ba	All four scenarios share the same marginal costs.	The same marginal costs are shared by all four scenarios.	ba	entailment
2003044	ba	ba	ba	ba	ba	ba	ba	The Subcommittee heard the testimony.	The testimony was heard by the Subcommittee.	ba	entailment
2002273	ba	ba	ba	ba	ba	ba	ba	The chateau houses several famous artworks.	Several famous artworks are housed by the chateau.	ba	entailment
2001453	ba	ba	ba	ba	ba	ba	ba	The secretaries found requirements in which become effective on the first on January.	Requirements in which become effective on the first on January were found by the secretaries.	ba	entailment
2001686	ba	ba	ba	ba	ba	ba	ba	The Museum attracts lots of tourists.	Lots of tourists are attracted by the Museum.	ba	entailment
2000655	ba	ba	ba	ba	ba	ba	ba	The tome contained an MIT psycholinguist's theory of evolution.	An MIT psycholinguist 's theory of evolution was contained by the tome.	ba	entailment
2001909	ba	ba	ba	ba	ba	ba	ba	The bhuddists depict lotus blossoms. 	Lotus blossoms are depicted by the bhuddists.	ba	entailment
2000026	ba	ba	ba	ba	ba	ba	ba	The 48 mainland states prepared national inventories.	National inventories were prepared by the 48 mainland states.	ba	entailment
2000521	ba	ba	ba	ba	ba	ba	ba	The Venetians built a fortress which surrounds the city center.	A fortress which surrounds the city center were built by the Venetians.	ba	entailment
2001105	ba	ba	ba	ba	ba	ba	ba	The garden features seven different kinds of flowers.	Seven different kinds of flowers are featured by the garden.	ba	entailment
2000089	ba	ba	ba	ba	ba	ba	ba	The court appoints a lobbyist for everyone.	A lobbyist for everyone is appointed by the court.	ba	entailment
2001616	ba	ba	ba	ba	ba	ba	ba	The factors affect a number of government programs.	A number of government programs is affected by the factors.	ba	entailment
2001253	ba	ba	ba	ba	ba	ba	ba	The EPA published a notice of proposed rules for the air and water in the Federal Register.	A notice of proposed rules for the air and water in the Federal Register was published by the EPA.	ba	entailment
2002372	ba	ba	ba	ba	ba	ba	ba	The gods share Hypostyle Halis and an inner sanctum inside the temple.	Hypostyle Halis and an inner sanctum inside the temple are shared by the gods.	ba	entailment
2003130	ba	ba	ba	ba	ba	ba	ba	The author kept his protagonist's secrets.	His protagonist 's secrets was kept by the author.	ba	entailment
2001944	ba	ba	ba	ba	ba	ba	ba	The report examines the product development part of the acquisition process.	The product development part of the acquisition process are examined by the report.	ba	entailment
2000190	ba	ba	ba	ba	ba	ba	ba	The ranchers love progressive policies, no matter the cost.	Progressive policies , no matter the cost are loved by the ranchers.	ba	entailment
2001516	ba	ba	ba	ba	ba	ba	ba	The woman drew a snake-headed lance. 	A snake-headed lance was drawn by the woman.	ba	entailment
2002927	ba	ba	ba	ba	ba	ba	ba	The dimensional model makes no sense.	No sense is made by the dimensional model.	ba	entailment
